For M5|Adr 00085|PI1                          76|SD         40.109 m   |Hz       109.1400 DMS |V2         2.2741 DMS | 
For M5|Adr 00086|PI1                          77|SD         40.499 m   |Hz       106.0608 DMS |V2         2.2325 DMS | 
For M5|Adr 00087|PI1                          78|SD         41.121 m   |Hz       103.1139 DMS |V2         2.1703 DMS | 
For M5|Adr 00088|PI1                          79|SD         31.687 m   |Hz        95.5005 DMS |V2         1.5702 DMS | 
For M5|Adr 00089|PI1                          80|SD         30.179 m   |Hz        99.4057 DMS |V2         2.0152 DMS | 
For M5|Adr 00090|PI1                          81|SD         29.324 m   |Hz       103.0944 DMS |V2         2.0738 DMS | 
For M5|Adr 00091|PI1                          82|SD         20.325 m   |Hz        90.5807 DMS |V2         1.3341 DMS | 
For M5|Adr 00092|PI1                          83|SD         22.471 m   |Hz        84.2946 DMS |V2         1.2411 DMS | 
For M5|Adr 00093|PI1                          84|SD         24.564 m   |Hz        79.3351 DMS |V2         1.2124 DMS | 
For M5|Adr 00094|PI1                          85|SD         13.634 m   |Hz        47.3443 DMS |V2       359.1025 DMS | 
For M5|Adr 00095|PI1                          86|SD         16.974 m   |Hz        44.4308 DMS |V2       359.1147 DMS | 
For M5|Adr 00096|PI1                          87|SD         20.146 m   |Hz        43.1900 DMS |V2       359.1133 DMS | 
For M5|Adr 00097|PI1                          88|SD         25.233 m   |Hz        39.3457 DMS |V2       359.1738 DMS | 
For M5|Adr 00098|PI1                          89|SD         29.057 m   |Hz        37.4039 DMS |V2       359.2650 DMS | 
For M5|Adr 00099|PI1                          90|SD         28.395 m   |Hz        38.2959 DMS |V2       359.1845 DMS | 
For M5|Adr 00100|PI1                          91|SD         26.512 m   |Hz        25.3733 DMS |V2       358.5506 DMS | 
For M5|Adr 00101|PI1                          92|SD         26.734 m   |Hz        25.3511 DMS |V2       359.1002 DMS | 
For M5|Adr 00102|PI1                          93|SD         27.791 m   |Hz       355.5103 DMS |V2       358.1813 DMS | 
For M5|Adr 00103|PI1                          94|SD         31.151 m   |Hz       351.2304 DMS |V2       358.2603 DMS | 
For M5|Adr 00104|PI1                          95|SD         35.271 m   |Hz       343.2349 DMS |V2       358.1519 DMS | 
For M5|Adr 00105|PI1                          96|SD         35.938 m   |Hz       328.2041 DMS |V2       358.0440 DMS | 
For M5|Adr 00106|PI1                          97|SD         29.242 m   |Hz       330.3333 DMS |V2       358.0718 DMS | 
For M5|Adr 00107|PI1                          98|SD         29.922 m   |Hz       339.2521 DMS |V2       358.2009 DMS | 
For M5|Adr 00108|PI1                          99|SD         34.971 m   |Hz       339.0913 DMS |V2       358.1343 DMS | 
For M5|Adr 00109|PI1                         100|SD         22.380 m   |Hz       357.0358 DMS |V2       358.1232 DMS | 
For M5|Adr 00110|PI1                         101|SD         18.786 m   |Hz        23.0527 DMS |V2       358.2609 DMS | 
For M5|Adr 00111|PI1                         102|SD         24.725 m   |Hz       119.0100 DMS |V2         2.1225 DMS | 
For M5|Adr 00112|PI1                         103|SD         27.923 m   |Hz       120.2740 DMS |V2         2.2310 DMS | 
For M5|Adr 00113|PI1                         104|SD         27.179 m   |Hz       107.3232 DMS |V2         1.5005 DMS | 
For M5|Adr 00114|PI1                         105|SD         83.637 m   |Hz       109.4146 DMS |V2         3.1606 DMS | 
For M5|Adr 00115|PI1                         106|SD         83.839 m   |Hz       110.2142 DMS |V2         3.0405 DMS | 
For M5|Adr 00116|PI1                         107|SD         78.353 m   |Hz       110.2142 DMS |V2         3.1645 DMS | 
For M5|Adr 00117|PI1                         108|SD         78.480 m   |Hz       110.4849 DMS |V2         3.0444 DMS | 
For M5|Adr 00118|PI1                         109|SD         68.890 m   |Hz       110.4629 DMS |V2         3.3211 DMS | 
For M5|Adr 00119|PI1                         110|SD         68.863 m   |Hz       110.5220 DMS |V2         3.1846 DMS | 
For M5|Adr 00120|PI1                         111|SD         41.853 m   |Hz        77.1711 DMS |V2         4.2230 DMS | 
For M5|Adr 00121|PI1                         112|SD         51.620 m   |Hz        81.0159 DMS |V2         1.2242 DMS | 
For M5|Adr 00122|PI1                         113|SD         34.671 m   |Hz         0.2215 DMS |V2       358.5520 DMS | 
For M5|Adr 00123|PI1                         114|SD         37.722 m   |Hz        20.1557 DMS |V2       359.1502 DMS | 
For M5|Adr 00124|PI1                         115|SD        118.650 m   |Hz       234.5147 DMS |V2       357.0647 DMS | 
For M5|Adr 00125|PI1                         116|SD         73.001 m   |Hz       231.4813 DMS |V2       357.0513 DMS | 
For M5|Adr 00126|PI1                         117|SD         57.007 m   |Hz       228.0730 DMS |V2       358.0032 DMS | 
For M5|Adr 00127|PI1                         118|SD         30.350 m   |Hz       222.0453 DMS |V2       358.2501 DMS | 
For M5|Adr 00128|PI1                         119|SD         33.372 m   |Hz       244.3659 DMS |V2       357.3332 DMS | 
For M5|Adr 00129|PI1                         120|SD         38.114 m   |Hz       241.0928 DMS |V2       357.3332 DMS | 
For M5|Adr 00130|PI1                         121|SD         34.940 m   |Hz       243.3952 DMS |V2       357.4034 DMS | 
For M5|Adr 00131|PI1                         122|SD         22.658 m   |Hz       223.3354 DMS |V2       358.3751 DMS | 
For M5|Adr 00132|PI1                         123|SD         18.842 m   |Hz       211.3505 DMS |V2       358.3507 DMS | 
For M5|Adr 00133|PI1                         124|SD         10.381 m   |Hz       205.0423 DMS |V2         0.1639 DMS | 
For M5|Adr 00134|PI1                         125|SD         20.603 m   |Hz       214.5009 DMS |V2       358.3511 DMS | 
For M5|Adr 00135|PI1                         126|SD         17.374 m   |Hz       207.3006 DMS |V2       358.4532 DMS | 
For M5|Adr 00136|PI1                         127|SD          9.411 m   |Hz       193.1958 DMS |V2         1.5703 DMS | 
For M5|Adr 00137|PI1                         128|SD          9.052 m   |Hz       183.0935 DMS |V2         2.0319 DMS | 
For M5|Adr 00138|PI1                         129|SD          9.446 m   |Hz       154.2814 DMS |V2         2.0533 DMS | 
For M5|Adr 00139|PI1                         130|SD         24.921 m   |Hz       237.4736 DMS |V2       357.2307 DMS | 
For M5|Adr 00140|PI1                         131|SD         13.611 m   |Hz       247.4844 DMS |V2       358.1324 DMS | 
For M5|Adr 00141|PI1                         132|SD         14.516 m   |Hz       252.0725 DMS |V2       356.4120 DMS | 
For M5|Adr 00142|PI1                         133|SD         11.417 m   |Hz       305.2559 DMS |V2       357.5232 DMS | 
For M5|Adr 00143|PI1                         134|SD         12.944 m   |Hz       312.0003 DMS |V2       358.3857 DMS | 
For M5|Adr 00144|PI1                         135|SD         14.091 m   |Hz       282.5512 DMS |V2       357.1456 DMS | 
For M5|Adr 00145|PI1                         136|SD          6.118 m   |Hz       296.3114 DMS |V2         0.2716 DMS | 
For M5|Adr 00146|PI1                         137|SD          7.977 m   |Hz       298.4122 DMS |V2       356.2718 DMS | 
For M5|Adr 00147|PI1                         138|SD         17.480 m   |Hz       354.1103 DMS |V2       359.5908 DMS | 
For M5|Adr 00148|PI1                         139|SD         14.068 m   |Hz        15.4757 DMS |V2         1.1925 DMS | 
For M5|Adr 00149|PI1                         140|SD         14.352 m   |Hz         7.2039 DMS |V2       359.3731 DMS | 
For M5|Adr 00150|PI1                         141|SD         16.073 m   |Hz        16.1510 DMS |V2         0.1812 DMS | 
For M5|Adr 00151|PI1                         142|SD         23.629 m   |Hz         6.3848 DMS |V2         1.0703 DMS | 
For M5|Adr 00152|PI1                         143|SD         19.896 m   |Hz       358.4216 DMS |V2         0.4635 DMS | 
For M5|Adr 00153|PI1                         144|SD         23.011 m   |Hz         9.2546 DMS |V2         0.5220 DMS | 
For M5|Adr 00154|PI1                         145|SD         25.274 m   |Hz        27.2338 DMS |V2         1.1611 DMS | 
For M5|Adr 00155|PI1                         146|SD         25.684 m   |Hz        23.3547 DMS |V2         0.2447 DMS | 
For M5|Adr 00156|PI1                         147|SD         29.429 m   |Hz        15.5549 DMS |V2         0.5904 DMS | 
For M5|Adr 00157|PI1                         148|SD         26.936 m   |Hz        14.2536 DMS |V2         1.1606 DMS | 
For M5|Adr 00158|PI1                         149|SD         30.575 m   |Hz        19.1208 DMS |V2         0.4127 DMS | 
For M5|Adr 00159|PI1                         150|SD         32.765 m   |Hz        22.3853 DMS |V2         0.5152 DMS | 
For M5|Adr 00160|PI1                         151|SD         34.434 m   |Hz        22.1454 DMS |V2         0.3720 DMS | 
For M5|Adr 00161|PI1                         152|SD         36.025 m   |Hz        20.3548 DMS |V2         0.3619 DMS | 
For M5|Adr 00162|PI1                         153|SD         38.981 m   |Hz        24.0336 DMS |V2         0.4014 DMS | 
For M5|Adr 00163|PI1                         154|SD         46.223 m   |Hz        23.0213 DMS |V2         0.5155 DMS | 
For M5|Adr 00164|PI1                         155|SD         52.128 m   |Hz        24.3243 DMS |V2         1.1203 DMS | 
For M5|Adr 00165|PI1                         156|SD         59.931 m   |Hz        28.2245 DMS |V2         0.4556 DMS | 
For M5|Adr 00166|PI1                         157|SD         50.394 m   |Hz        45.4333 DMS |V2         1.2623 DMS | 
For M5|Adr 00167|PI1                         158|SD         54.808 m   |Hz        44.2206 DMS |V2         1.1836 DMS | 
For M5|Adr 00168|PI1                         159|SD         46.598 m   |Hz        47.1444 DMS |V2         1.2751 DMS | 
For M5|Adr 00169|PI1                         160|SD         36.247 m   |Hz        53.0105 DMS |V2         2.1827 DMS | 
For M5|Adr 00170|PI1                         161|SD         36.218 m   |Hz        52.5708 DMS |V2         2.0758 DMS | 
For M5|Adr 00171|PI1                         162|SD         28.373 m   |Hz        60.5241 DMS |V2         2.4940 DMS | 
For M5|Adr 00172|PI1                         163|SD         28.391 m   |Hz        61.0456 DMS |V2         2.2152 DMS | 
For M5|Adr 00173|PI1                         164|SD         28.390 m   |Hz        61.0454 DMS |V2         2.2151 DMS | 
For M5|Adr 00174|PI1                         165|SD         28.401 m   |Hz        61.0454 DMS |V2         2.2152 DMS | 
For M5|Adr 00175|PI1                         166|SD         34.223 m   |Hz        54.2440 DMS |V2         2.0409 DMS | 
For M5|Adr 00176|PI1                         167|SD         33.058 m   |Hz        49.5216 DMS |V2         1.5745 DMS | 
For M5|Adr 00177|PI1                         168|SD         28.875 m   |Hz        52.5138 DMS |V2         2.0935 DMS | 
For M5|Adr 00178|PI1                         169|SD         25.006 m   |Hz        50.0528 DMS |V2         2.0314 DMS | 
For M5|Adr 00179|PI1                         170|SD         31.570 m   |Hz        48.4819 DMS |V2         1.5412 DMS | 
For M5|Adr 00180|PI1                         171|SD         31.140 m   |Hz        51.0653 DMS |V2         2.0140 DMS | 
For M5|Adr 00181|PI1                         172|SD         26.251 m   |Hz        44.1653 DMS |V2         1.4127 DMS | 
For M5|Adr 00182|PI1                         173|SD         25.662 m   |Hz        46.5946 DMS |V2         1.5107 DMS | 
For M5|Adr 00183|PI1                         174|SD         21.227 m   |Hz        42.1903 DMS |V2         1.2938 DMS | 
For M5|Adr 00184|PI1                         175|SD         20.619 m   |Hz        45.5857 DMS |V2         1.3906 DMS | 
For M5|Adr 00185|PI1                         176|SD         17.398 m   |Hz        42.5916 DMS |V2         1.2451 DMS | 
For M5|Adr 00186|PI1                         177|SD         12.791 m   |Hz        42.2432 DMS |V2         1.1630 DMS | 
For M5|Adr 00187|PI1                         178|SD         37.102 m   |Hz        44.4637 DMS |V2         1.4345 DMS | 
For M5|Adr 00188|PI1                         179|SD         37.105 m   |Hz        44.4636 DMS |V2         1.4345 DMS | 
